region_1_US,region_2
Napa Valley,Napa
Toro,
Knights Valley,Sonoma
Willamette Valley,Willamette Valley
Bandol,
Toro,
Toro,
Toro,
Chehalem Mountains,Willamette Valley
Sonoma Coast,Sonoma
Collio,
Ribbon Ridge,Willamette Valley
Dundee Hills,Willamette Valley
Madiran,
Dundee Hills,Willamette Valley
Willamette Valley,Willamette Valley
Diamond Mountain District,Napa
Ribera del Duero,
Cahors,
Sonoma Coast,Sonoma
Napa Valley,Napa
Rioja,
Toro,
Edna Valley,Central Coast
Santa Cruz Mountains,Central Coast
Kumeu,
Willamette Valley,
Willamette Valley,Willamette Valley
Santa Lucia Highlands,Central Coast
Walla Walla Valley (WA),Columbia Valley
Bulgaria,
Russian River Valley,Sonoma
Brunello di Montalcino,
Vin Mousseux,
Columbia Valley (WA),Columbia Valley
Brunello di Montalcino,
Chianti Classico,
Ribeira Sacra,
Jerez,
Idaho,
Chianti Classico,
Cornas,
Chianti Classico,
Brunello di Montalcino,
Mount Veeder,Napa
Brunello di Montalcino,
Sancerre,
Coteaux du Giennois,
Red Mountain,Columbia Valley
Sancerre,
Finger Lakes,Finger Lakes
Columbia Valley (WA),Columbia Valley
Maremma Toscana,
Mendoza,
Mendoza,
Chablis,
Santa Clara Valley,Central Coast
Chablis,
Napa Valley,Napa
Eola-Amity Hills,Willamette Valley
Rutherford,Napa
St. Helena,Napa
Barolo,
Alentejo,
Willamette Valley,Willamette Valley
Champagne,
Napa Valley,Napa
Barolo,
Eola-Amity Hills,Willamette Valley
Upper Galilee,
Roero,
Barolo,
Barolo,
Barolo,
Chablis,
Russian River Valley,Sonoma
Napa Valley,Napa
Beira Atlantico,
Prosecco,
Mendocino County,Mendocino/Lake Counties
Douro,
Cahors,
Buzet,
Côtes de Gascogne,
Napa Valley,Napa
Knights Valley,Sonoma
Paso Robles,Central Coast
Yakima Valley,Columbia Valley
Napa Valley,Napa
Tejo,
Tupungato,
Howell Mountain,Napa
Hudson River Region,New York Other
Stellenbosch,
Valle de Uco,
Jumilla,
Southwest France,
Alentejano,
Russian River Valley,Sonoma
Anderson Valley,Mendocino/Lake Counties
Santa Maria Valley,Central Coast
Napa Valley,Napa
Anderson Valley,Mendocino/Lake Counties
Amador County,Sierra Foothills
St. Helena,Napa
Rioja,
Etna,
Amador County,Sierra Foothills
Napa Valley,Napa
Adelaida District,Central Coast
Adelaida District,Central Coast
California,California Other
Rioja,
Coteaux du Languedoc Pic Saint Loup,
Napa Valley,Napa
Santa Lucia Highlands,Central Coast
Edna Valley,Central Coast
Napa Valley,Napa
Atalanti Valley,
Cava,
Florina,
Marchigue,
Rioja,
Colchagua Valley,
Happy Canyon of Santa Barbara,Central Coast
Rioja,
Paso Robles,Central Coast
Willamette Valley,Willamette Valley
Toscana,
Toscana,
Livermore Valley,Central Coast
Curicó Valley,
Anderson Valley,Mendocino/Lake Counties
Côtes du Rhône,
Toro,
Toscana,
Toscana,
Napa Valley,Napa
Maule Valley,
Paso Robles,Central Coast
Sonoma Coast,Sonoma
Yakima Valley,Columbia Valley
Luján de Cuyo,
Columbia Valley (WA),Columbia Valley
Paso Robles,Central Coast
Paso Robles,Central Coast
Valdeorras,
Montsant,
Tupungato,
Columbia Valley (WA),Columbia Valley
Finger Lakes,Finger Lakes
Finger Lakes,Finger Lakes
Finger Lakes,Finger Lakes
Finger Lakes,Finger Lakes
Wahluke Slope,Columbia Valley
Cava,
Douro,
Barbaresco,
Rockpile,Sonoma
Barbaresco,
Alsace,
Alsace,
Guerrouane,
Alsace,
Alsace,
Red Mountain,Columbia Valley
Paso Robles,Central Coast
Alsace,
