country,pct_wine_consumption
Albania,19.8
Algeria,35.5
Andorra,45.3
Angola,13.7
Antigua and Barbuda,16.4
Argentina,48.0
Armenia,5.3
Australia,36.7
Austria,35.5
Azerbaijan,7.6
Bahamas,14.6
Bahrain,6.3
Barbados,10.2
Belarus,5.2
Belgium,36.3
Belize,2.0
Benin,21.7
Bhutan,0.0
Bolivia,3.8
Bosnia and Herzegovina,3.2
Botswana,11.8
Brazil,4.0
Brunei,2.3
Bulgaria,16.5
Burkina Faso,3.0
Burundi,0.0
Cambodia,0.8
Cameroon,1.2
Canada,22.0
Cape Verde,7.3
Central African Republic,0.6
Chad,3.4
Chile,40.7
China,3.0
Colombia,1.1
Comoros,22.2
Congo,9.8
Cook Islands,22.6
Costa Rica,4.7
Cote d'Ivoire,3.0
Croatia,44.8
Cuba,2.2
Cyprus,24.7
Czech Republic,20.5
Democratic Republic of Congo,0.7
Denmark,48.2
Djibouti,5.3
Dominica,7.1
Dominican Republic,2.7
Ecuador,1.2
Egypt,5.4
El Salvador,1.7
Equatorial Guinea,72.2
Eritrea,0.0
Estonia,11.1
Ethiopia,0.6
Fiji,0.9
Finland,17.5
France,56.4
Gabon,11.9
Gambia,0.7
Georgia,49.8
Germany,27.8
Ghana,9.7
Greece,47.3
Grenada,4.3
Guatemala,1.6
Guinea,16.3
Guinea-Bissau,14.9
Guyana,0.3
Haiti,0.2
Honduras,1.1
Hungary,29.4
Iceland,21.2
India,0.1
Indonesia,0.1
Iraq,1.0
Ireland,26.1
Israel,6.2
Italy,65.6
Jamaica,4.9
Japan,4.1
Jordan,2.1
Kazakhstan,3.1
Kenya,1.8
Kiribati,2.2
Kuwait,10.8
Kyrgyzstan,4.2
Laos,0.0
Latvia,10.7
Lebanon,29.1
Lesotho,0.2
Liberia,1.0
Lithuania,7.8
Luxembourg,42.8
Macedonia,39.9
Madagascar,9.5
Malawi,1.2
Malaysia,2.0
Mali,1.5
Malta,32.7
Mauritius,12.3
Mexico,1.5
Micronesia (country),14.1
Moldova,5.1
Mongolia,2.8
Montenegro,47.0
Morocco,36.5
Mozambique,7.3
Myanmar,5.7
Namibia,0.3
Nauru,14.6
Nepal,0.9
Netherlands,36.4
New Zealand,33.9
Nicaragua,0.5
Niger,13.2
Nigeria,0.4
Niue,1.7
Norway,34.7
Oman,3.3
Palau,5.9
Panama,4.6
Papua New Guinea,0.9
Paraguay,18.2
Peru,6.1
Philippines,0.3
Poland,9.3
Portugal,55.5
Qatar,13.9
Romania,28.9
Russia,11.4
Rwanda,0.0
Saint Kitts and Nevis,7.4
Saint Lucia,12.6
Saint Vincent and the Grenadines,3.0
Samoa,16.6
Sao Tome and Principe,60.2
Saudi Arabia,1.9
Senegal,41.3
Serbia,23.9
Seychelles,22.2
Sierra Leone,0.5
Singapore,13.5
Slovakia,18.3
Slovenia,46.9
Solomon Islands,2.1
South Africa,17.8
South Korea,1.6
Spain,20.1
Sri Lanka,0.1
Sudan,0.0
Suriname,2.3
Swaziland,0.8
Sweden,46.6
Switzerland,49.4
Syria,27.9
Tajikistan,1.1
Tanzania,0.2
Thailand,0.4
Timor,75.9
Togo,26.9
Tonga,7.6
Trinidad and Tobago,2.0
Tunisia,27.7
Turkey,8.6
Turkmenistan,26.1
Tuvalu,15.5
Uganda,0.1
Ukraine,9.0
United Arab Emirates,2.9
United Kingdom,33.8
United States,17.3
Uruguay,59.9
Uzbekistan,6.3
Vanuatu,22.8
Venezuela,0.8
Vietnam,0.6
Yemen,0.0
Zambia,2.9
Zimbabwe,1.7
