0,1,2
Wine Varietal,Suggested Serving Temperature,Chill in Fridge Approx.  (from room temp)
Champagne or Sparkling Wine,45°F,30-40 minutes
Pinot Gris,45-50°F,30-40 minutes
Riesling,45-50°F,30-40 minutes
Sauvignon Blanc,45-50°F,30-40 minutes
Chardonnay,50°F,30 minutes
Rosé,50°F,30 minutes
Viognier,50°F,30 minutes
White Bordeaux Blends,50°F,30 minutes
Pinot Noir,55°F-60°F,15-20 minutes
Cabernet Franc,60°F,15 minutes
Syrah,60°F-65°F,10-15 minutes
Zinfandel,60°F-65°F,10-15 minutes
Merlot,60°F-65°F,10-15 minutes
Cabernet Sauvignon,60°F-65°F,10-15 minutes
Malbec,60°F-65°F,10-15 minutes
Red Bordeaux Blends,60°F-65°F,10-15 minutes
