Unnamed: 0,region_1,region_2
0,Napa Valley,Napa
1,Toro,
2,Knights Valley,Sonoma
3,Willamette Valley,Willamette Valley
4,Bandol,
5,Toro,
6,Toro,
7,Toro,
8,Chehalem Mountains,Willamette Valley
9,Sonoma Coast,Sonoma
10,Collio,
11,Ribbon Ridge,Willamette Valley
12,Dundee Hills,Willamette Valley
13,Madiran,
14,Dundee Hills,Willamette Valley
15,Willamette Valley,Willamette Valley
16,Diamond Mountain District,Napa
17,Ribera del Duero,
18,Cahors,
19,Sonoma Coast,Sonoma
20,Napa Valley,Napa
21,Rioja,
22,Toro,
23,Edna Valley,Central Coast
24,Santa Cruz Mountains,Central Coast
25,,
26,Willamette Valley,
27,Willamette Valley,Willamette Valley
28,Santa Lucia Highlands,Central Coast
29,Walla Walla Valley (WA),Columbia Valley
30,,
31,Russian River Valley,Sonoma
32,Brunello di Montalcino,
33,Vin Mousseux,
34,Columbia Valley (WA),Columbia Valley
35,Brunello di Montalcino,
36,Châteauneuf-du-Pape,
37,Vino Nobile di Montepulciano,
38,Chianti Classico,
39,Chianti Classico,
40,Ribeira Sacra,
41,Jerez,
42,,
43,Chianti Classico,
44,Cornas,
45,Chianti Classico,
46,Brunello di Montalcino,
47,Mount Veeder,Napa
48,Brunello di Montalcino,
49,Red Mountain,Columbia Valley
50,Brunello di Montalcino,
51,Chassagne-Montrachet,
52,Sancerre,
53,Coteaux du Giennois,
54,Russian River Valley,Sonoma
55,Red Mountain,Columbia Valley
56,Sancerre,
57,Finger Lakes,Finger Lakes
58,Columbia Valley (WA),Columbia Valley
59,Maremma Toscana,
60,Mendoza,
61,Mornington Peninsula,
62,Mendoza,
63,Chablis,
64,,
65,Santa Clara Valley,Central Coast
66,Chablis,
67,Napa Valley,Napa
68,Eola-Amity Hills,Willamette Valley
69,Rutherford,Napa
70,St. Helena,Napa
71,Sonoma Coast,Sonoma
72,Barolo,
73,Willamette Valley,Willamette Valley
74,,
75,Willamette Valley,Willamette Valley
76,Champagne,
77,Napa Valley,Napa
78,Napa Valley,Napa
79,Barolo,
80,Eola-Amity Hills,Willamette Valley
81,,
82,Roero,
83,Barolo,
84,Barolo,
85,Barolo,
86,Chablis,
87,Napa Valley,Napa
88,Russian River Valley,Sonoma
89,Napa Valley,Napa
90,California,California Other
91,,
92,Prosecco,
93,Mendocino County,Mendocino/Lake Counties
94,,
95,Cahors,
96,California,California Other
97,Sonoma Valley,Sonoma
98,Buzet,
99,Côtes de Gascogne,
100,South Coast,South Coast
101,Napa Valley,Napa
102,Brunello di Montalcino,
103,Knights Valley,Sonoma
104,Paso Robles,Central Coast
105,Yakima Valley,Columbia Valley
106,Lodi,Central Valley
107,California,California Other
108,California,California Other
109,Napa Valley,Napa
110,,
111,Tupungato,
112,Howell Mountain,Napa
113,Hudson River Region,New York Other
114,,
115,Valle de Uco,
116,Jumilla,
117,Gaillac,
118,,
119,,
120,Russian River Valley,Sonoma
121,Anderson Valley,Mendocino/Lake Counties
122,Santa Maria Valley,Central Coast
123,Napa Valley,Napa
124,Anderson Valley,Mendocino/Lake Counties
125,Anderson Valley,Mendocino/Lake Counties
126,Amador County,Sierra Foothills
127,St. Helena,Napa
128,Rioja,
129,Etna,
130,Greco di Tufo,
131,Santa Lucia Highlands,Central Coast
132,Amador County,Sierra Foothills
133,Sonoma County,Sonoma
134,Napa Valley,Napa
135,Adelaida District,Central Coast
136,Adelaida District,Central Coast
137,California,California Other
138,Rioja,
139,Coteaux du Languedoc Pic Saint Loup,
140,Bordeaux Rosé,
141,Napa Valley,Napa
142,Santa Lucia Highlands,Central Coast
143,Applegate Valley,Southern Oregon
144,Edna Valley,Central Coast
145,Anderson Valley,Mendocino/Lake Counties
146,Napa Valley,Napa
147,Rías Baixas,
148,Sta. Rita Hills,Central Coast
149,Ballard Canyon,Central Coast
150,Willamette Valley,Willamette Valley
151,,
152,Cava,
153,,
154,,
155,,
156,Cahors,
157,Rogue Valley,Southern Oregon
158,Rioja,
159,,
160,Happy Canyon of Santa Barbara,Central Coast
161,Oregon,Oregon Other
162,Rioja,
163,Dunnigan Hills,Central Valley
164,Paso Robles,Central Coast
165,Willamette Valley,Willamette Valley
166,Toscana,
167,Toscana,
168,,
169,Livermore Valley,Central Coast
170,Sta. Rita Hills,Central Coast
171,,
172,,
173,Anderson Valley,Mendocino/Lake Counties
174,Côtes du Rhône,
175,Toro,
176,Toscana,
177,Toscana,
178,Napa Valley,Napa
179,,
180,Sonoma Coast,Sonoma
181,Paso Robles,Central Coast
182,Sonoma Coast,Sonoma
183,Yakima Valley,Columbia Valley
184,Luján de Cuyo,
185,Columbia Valley (WA),Columbia Valley
186,Paso Robles,Central Coast
187,Paso Robles,Central Coast
188,Valdeorras,
189,Montsant,
190,Tupungato,
191,Graves,
192,Haut-Médoc,
193,Saint-Estèphe,
194,Fronsac,
195,Haut-Médoc,
196,California,California Other
197,Columbia Valley (WA),Columbia Valley
198,Finger Lakes,Finger Lakes
199,Finger Lakes,Finger Lakes
200,Finger Lakes,Finger Lakes
201,Finger Lakes,Finger Lakes
202,Médoc,
203,Haut-Médoc,
204,Columbia Valley (WA),Columbia Valley
205,Columbia Valley (WA),Columbia Valley
206,Columbia Valley (WA),Columbia Valley
207,Finger Lakes,Finger Lakes
208,Wahluke Slope,Columbia Valley
209,Cava,
210,,
211,Barbaresco,
212,Rockpile,Sonoma
213,Barbaresco,
214,Alsace,
215,Alsace,
216,,
217,Barolo,
218,Alsace,
219,Alsace,
220,Red Mountain,Columbia Valley
221,Paso Robles,Central Coast
222,Alsace,
223,Napa Valley,Napa
224,Barbaresco,
225,Sauternes,
226,Fort Ross-Seaview,Sonoma
227,Red Mountain,Columbia Valley
228,Santa Barbara County,Central Coast
229,,
230,Horse Heaven Hills,Columbia Valley
231,Napa Valley,Napa
232,Red Mountain,Columbia Valley
233,Red Mountain,Columbia Valley
234,Barbaresco,
235,Alsace,
236,Alsace,
237,Alsace,
238,,
239,Barbaresco,
240,Blaye Côtes de Bordeaux,
241,Bordeaux Blanc,
242,Pessac-Léognan,
243,Côtes de Bourg,
244,Bordeaux Blanc,
245,Carneros,Napa-Sonoma
246,McMinnville,Willamette Valley
247,,
248,Central Coast,Central Coast
249,Russian River Valley,Sonoma
250,Sonoma County,Sonoma
251,Barolo,
252,Chehalem Mountains,Willamette Valley
253,Carneros,Napa-Sonoma
254,Willamette Valley,Willamette Valley
255,Barolo,
256,Napa Valley,Napa
257,Santa Lucia Highlands,Central Coast
258,Barolo,
259,Cigales,
260,La Mancha,
261,Crémant de Loire,
262,Paso Robles,Central Coast
263,Paso Robles,Central Coast
264,Barolo,
265,Sancerre,
266,Monterey County,Central Coast
267,Paso Robles,Central Coast
268,Santa Barbara County,Central Coast
269,Agrelo,
270,Beaune,
271,Chassagne-Montrachet,
272,Coombsville,Napa
